Lodging Houses,2994
Variety Stores,2991
Barbers (See also Hairdressers; also Beauty Shops),2783
Restaurants & Lunch Rooms,2617
Liquors-Retail,2496
Physicians & Surgeons,2214
Shoe Repairers,2125
LAW OFFICES,2110
*Law Books (See Booksellers) Lawyers,2036
Nurses,2006
Music Teachers,1957
Dentists,1927
Clergyme,1855
RESTAURANTS,1789
Beauty Shops (See also Barbers),1780
BARBER SHOPS,1627
BEAUTY SHOPS,1551
CLERGYMEN,1526
Lawyers,1511
Clubs,1509
Law Offices,1381
Insurance Agents,1270
Apartment Buildings,1266
REAL ESTATE,1226
Painters & Decorators,1212
GASOLINE STATIONS,1175
Gasoline & Oil Service Stations,1133
Plumbers (See also Steam Fitters),1101
Grocers-Retail,1063
Liquor Dealers-Retail,1036
Bakers-Retail,988
LAWYERS-CONTD,982
BEAUTY SHOPS-CONTD,965
RESTAURANTS-CONTD,937
Gasoline & 011 Service Stations,896
DENTISTS,873
Barber Shops,855
DEALERS,845
TURERS,840
Restaurants,838
Meats-Retail (See also Grocers),829
INSURANCE AGENTS,817
Automobile Repairing,806
Druggists-Retail,781
PHYSICIANS AND SURGEONS-MD. CONTD,736
Dry Goods-Retail,736
Dressmakers,734
Beauty Shops,733
Real Estate (See also Brokers-Real Estate; also Land Companies),727
REAL ESTATE-CONTD,726
VARIETY STORES,723
INSURANCE COMPANIES,687
CLOTHING-RETAIL,680
BUILDINGS-OFFICE AND PUBLIC,679
Printers-Book & Commercial,671
Grocers-Reftail (See also Commission Mer- chants; also Meats-Retail),652
Grocers-Retall (See also Commission Mer- chants; also Meats-Retail),630
APARTMENT BUILDINGS,628
"""Grocers-Retail (See also Commission Mer- ' chants; also Meats-Retail)""",628
Shoe Dealers-Retail,627
Laundries,625
NURSES,618
BUILDINGS-OFFICE AND PUBLIC CONTD,602
Insurance Companies,584
CLUBS,569
DENTISTS-CONTD,567
Grocers-Retail (See also Commission Mer- chants; also Meats-Retail),553
Grocers-Retail (See also Commission Mer- chants; also MeatSwRetail),550
JEWELERS-MANUFACTURING,539
Grocers-Retail (See also Commission Merchants; also Meats-Retail),536
Trucking & Teaming (See also Expressing & Moving; also Truckmen),528
"""Tailors-Merchant (See also Ladies' Tailors)""",523
also MeatS-Retail),520
J EWELERS-MFG-CONTD,513
LODGING HOUSES,510
MUSIC TEACHERS,501
Gasoline Stations,500
PHYSICIANS AND SURGEONS-M.D. CONTD,498
Fruit Dealers-Retail,496
(See also Commission Mer- chants; also Meats-Retail),496
JEWELRY MANUFACTURERS,491
Optometrists,490
"""'Law Books (See Booksellers) Lawyers""",489
"Grocers-Retail (See also Commissiop Mer- chants; also Meats-Retail) ,",488
*Japanners (See Enamelers) J ewelers-Mfg,488
*Law Books (See Booksellers) *Law Offices,485
Automobile Parking,479
cal Society,476
PHYSICIANS and SURGEONS-M D,472
Buildings-Office & Public,470
"Schools, Colleges & Academies",468
OPTOMETRISTS,465
PHYSICIANS and SURGEONS *Denotes Members of Rhode Island,460
Physicians & Surgeons .,460
TAVERNS,457
Funeral Directors (See also Undertakers),454
FUNERAL DIRECTORS,454
Physicians and Surgeons-MD,448
DRUGGISTS-RETAIL,446
Real Estate (See also Realtors),443
BUILDINGS-OFFICE and PUBLIC,434
MD,433
Electrical Contractors,430
CHURCHES,427
Investment Securities (See also Brokers-Investment),425
SHOE REPAIRERS,423
PLATERS,423
CLEANERS and DYERS,415
Real Estate (See also Brokers-Real Estate; also Land Companies) *Denotes Realtors,415
Automobile Dealers-Used Cars,414
Sheet Metal Workers,407
Automobile Garages,406
Physicians & Surgeons (MD),405
Furniture Dealers-Retail,403
FINANCE COMPANIES,399
(See also Abrasivesz also Ma-,398
"""W\n ; ., w'r cv- ** .- Lodging Houses""",398
Nurserymen (See also Gardeners) Nurses,396
Novelties-Mirs,393
Physicians & Surgeons (M. D.),389
Niuserymen (See also Gardeners) - Nurses,388
"Physicians & Surgeons (MD) (Revised as of May 28, 1945)",387
