,Drop_Reason,File_List,Street,Text
0,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_28.png'],NORTH HOWARD AVE,Di Stefano & Co 741 Howard Bldg
1,SCORE LESS THAN CUTOFF,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_29.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_30.png']",7TH ST,"Ernst & Ernst One Hospital Trust Plaza (02903), Tel 331-7000"
2,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_1.png'],N/A,
3,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_4.png'],4TH ST,Ernst & Ernst One Hosp Trust Plaza 17th Fl
4,EMPTY STREET,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_6.png']",,Ervanian Stanley S 111-Westminster St Rm 523
5,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_33.png'],GLEN ST,Mastroianni Anthony J 15 Lewis St (N Prov)
6,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_32.png'],N/A,G T SAFETY EQUIPMENT INC
7,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_48.png'],NORTH HOWARD AVE,Underwriters Adjusting Co 630 Howard Bldg
8,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_86.png'],NORTH HOWARD AVE,King J Howard Inc 220 Howard Bldg
9,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_10.png'],NORTH HOWARD AVE,Patterson George Co Inc Rm434 Howard Bldg
10,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_4.png'],N/A,American Airlines Howard Bldg
11,SCORE LESS THAN CUTOFF,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_28.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_29.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_30.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_31.png']",BALTON RD,"ALLSTATE AMBULANCE SERVICE INC 57 Budlong Rd (Cranston; 02920), Tel 944-4350 Branch Officez 7 Turner St, Warren, R I (02885), Tel 944-4350"
12,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_41.png'],N/A,
13,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_60.png'],4TH ST,CAPITOL ANSWERING SERVICE-l414
14,SCORE LESS THAN CUTOFF,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_61.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_62.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_63.png']",FAIRFIELD AVE,"nAtwood Av (Johnston; 02919), frel- 631-5337 And 781-3848 (See 1116"" Advertisers)"
15,EMPTY STREET,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_13.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_14.png']",,Horn Of Plenty Antiques The Weybosset St 4th Fl
16,SCORE LESS THAN CUTOFF,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_45.png']",REYNOLDS AVE,Begkmor Apartments 1252 Douglds Av (N Prov)
17,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_65.png'],N/A,
18,EMPTY STREET,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_71.png'],,Carroll Joseph P Tower 243-Smith St
19,EMPTY STREET,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_15.png'],,Eight Elmgrove Av Apts 8 Elmgrove Av
20,EMPTY STREET,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_32.png'],,Fifty Common St Apts 50 Common St
21,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_39.png'],N/A,
22,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_40.png'],GOVERNOR ST,Governor Abartments Inc 198 GoJemor St
23,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_49.png'],N/A,
24,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_53.png'],PITMAN ST,Ivanhoe Apartments 79 Ivan St (N Prov)
25,EMPTY STREET,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (2)_79.png'],,Metcalf Court 555'Veazie St (N Prov)
26,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (3)_68.png'],BARDEN ST,Yorktown Village Apts 1-14 Ternay Gardens
27,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_54 (2)_18.png'],HOPE ST,Allen Irene B Mrs 19 Mt Hope Av
28,SCORE LESS THAN CUTOFF,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_54 (3)_68.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_54 (3)_69.png']",PROVIDENCE ST,"Letts Quinn & Licht 1616 Hospital Trust Tower Providence, RI 02903 Tel 421-5650"
29,SCORE LESS THAN CUTOFF,['test/no_ads/margins_fixed/cropped/entry/1978_Page_55 (1)_71.png'],MARTIN AVE,T B A Inc 120 Main'mn Av
30,FAILED TO PARSE AN ADDRESS,['test/no_ads/margins_fixed/cropped/entry/1978_Page_55 (1)_83.png'],N/A,A (N Prov)
31,SCORE LESS THAN CUTOFF,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_55 (2)_29.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_55 (2)_30.png']",LOCUST AVE,Detroit Auto Body Rear 1184 Douglas Av (N Prov)
