,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1976/entry/1976_Page_68 (1)_2.png'],N/A,
1,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE",['cd1976/entry/1976_Page_68 (1)_21.png'],NORTH HOWARD AVE,Allen David 420 Howard Bidg
2,FAILED TO PARSE AN ADDRESS,['cd1976/entry/1976_Page_68 (2)_1.png'],N/A,
3,ERROR IN STREET MATCHING,"['cd1976/entry/1976_Page_68 (2)_9.png', 'cd1976/entry/1976_Page_68 (2)_10.png']","02903),","Ernst & Ernst One Hospital Trust Plaza (02903), Tel 331-7000"
4,"SCORE LESS THAN CUTOFF: Haskins & Sells 1501 Hospital Trust Tower,67.0,PROVIDENCE","['cd1976/entry/1976_Page_68 (2)_14.png', 'cd1976/entry/1976_Page_68 (2)_15.png']",HOSPITAL ST,"Rm 815
Haskins & Sells 1501 Hospital Trust Tower (02903), Tel 861-0740"
5,"SCORE LESS THAN CUTOFF: th Fi,65.0,PROVIDENCE","['cd1976/entry/1976_Page_69 (1)_10.png', 'cd1976/entry/1976_Page_69 (1)_11.png']",4TH ST,Ernst & Ernst One Hosp Trust Plaza 17th Fi
6,"SCORE LESS THAN CUTOFF: Howard Bldg,76,PROVIDENCE","['cd1976/entry/1976_Page_69 (2)_4.png', 'cd1976/entry/1976_Page_69 (2)_5.png']",NORTH HOWARD AVE,Underwriters Adjusting Co 630 Howard Bldg
7,"SCORE LESS THAN CUTOFF: Howard Bldg,76,PROVIDENCE",['cd1976/entry/1976_Page_69 (2)_52.png'],NORTH HOWARD AVE,Maxfield Joseph Co 540 Howard Bldg
8,FAILED TO PARSE AN ADDRESS,['cd1976/entry/1976_Page_69 (3)_20.png'],N/A,POLK RL & CO
9,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE","['cd1976/entry/1976_Page_69 (3)_22.png', 'cd1976/entry/1976_Page_69 (3)_23.png']",1ST ST,"431 HOWARD STREET DETROIT, MICHIGAN 48231"
10,FAILED TO PARSE AN ADDRESS,['cd1976/entry/1976_Page_69 (3)_38.png'],N/A,PROVIDENCE GAS
11,ERROR IN STREET MATCHING,"['cd1976/entry/1976_Page_69 (3)_40.png', 'cd1976/entry/1976_Page_69 (3)_41.png']",02903),"100 WEYBOSSET STREET (PROVIDENCE, 02903)"
12,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1976/entry/1976_Page_69 (3)_43.png'],10TH ST,831-8800
13,FAILED TO PARSE AN ADDRESS,['cd1976/entry/1976_Page_70 (1)_6.png'],N/A,American Airlines Howard Bldg
14,ERROR IN STREET MATCHING,"['cd1976/entry/1976_Page_70 (1)_14.png', 'cd1976/entry/1976_Page_70 (1)_15.png', 'cd1976/entry/1976_Page_70 (1)_16.png']","02865),","SKYLANES INC State Airport (Lincoln; 02865), Tels 726-6115, 726-4040 (See Index To Advertisers)"
15,EMPTY STREET,"['cd1976/entry/1976_Page_70 (2)_11.png', 'cd1976/entry/1976_Page_70 (2)_12.png', 'cd1976/entry/1976_Page_70 (2)_13.png']",426 ,"ANSERCO INC PO Box 426 (Pawtucket 02860), Tel 521-5387 (See Index To Advertisers)"
16,EMPTY STREET,"['cd1976/entry/1976_Page_70 (3)_58.png', 'cd1976/entry/1976_Page_70 (3)_59.png']",,Eight Elmgrove Av Apts 8 Elmgrove Av
17,EMPTY STREET,['cd1976/entry/1976_Page_70 (3)_81.png'],,Fifty Common St Apts 50 Common St
18,EMPTY STREET,"['cd1976/entry/1976_Page_71 (3)_68.png', 'cd1976/entry/1976_Page_71 (3)_69.png']",,Providence Partnership The Holden Ct
19,FAILED TO PARSE AN ADDRESS,['cd1976/entry/1976_Page_72 (2)_68.png'],N/A,Global Graphics Howard Bldg
20,"SCORE LESS THAN CUTOFF: Hospital Trust Tower Providence, RI 02903,71,PROVIDENCE","['cd1976/entry/1976_Page_72 (3)_38.png', 'cd1976/entry/1976_Page_72 (3)_39.png']",PROVIDENCE PL,"Letts Quinn & Licht 1616 Hospital Trust Tower Providence, RI 02903 Tel 521-5650"
21,FAILED TO PARSE AN ADDRESS,['cd1976/entry/1976_Page_73 (2)_3.png'],N/A,POLK RL & CO
22,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE","['cd1976/entry/1976_Page_73 (2)_5.png', 'cd1976/entry/1976_Page_73 (2)_6.png']",1ST ST,"431 HOWARD STREET DETROIT, MICHIGAN 48231"
23,"SCORE LESS THAN CUTOFF: Bald Hill Rd,,68,PROVIDENCE","['cd1976/entry/1976_Page_73 (3)_23.png', 'cd1976/entry/1976_Page_73 (3)_24.png', 'cd1976/entry/1976_Page_73 (3)_25.png']",BALDWIN CT,"FIORE PONTIAC INC 399 Bald Hill Rd, (Warwick, 02886), Tel 739-2100 (See Index To Advertisers)"
