,Index,Address,City,Company_Name,Conf_Score,File_List,Header,Text
0,16,170 BROADWAY ST,PROVIDENCE,Gallonio & Co Account Firm,100.0,['cd1985/entry/1985_Page_104 (2).chop_15.png'],ACCOUNTANTSCONTD,Gallonio & Co Account Firm 170 Broadway
1,21,126 COTTAGE ST,PROVIDENCE,Iorio Joyce F,100.0,['cd1985/entry/1985_Page_104 (2).chop_20.png'],ACCOUNTANTSCONTD,Iorio Joyce F 126 Cottage Av (NP)
2,29,2020 ELMWOOD AVE,PROVIDENCE,LEONELLI & CO REALTORS,100.0,"['cd1985/entry/1985_Page_104 (3).chop_2.png', 'cd1985/entry/1985_Page_104 (3).chop_3.png', 'cd1985/entry/1985_Page_104 (3).chop_4.png']",ACCOUNTANTSCONTD,"LEONELLI & CO REALTORS 2020 Elmwood Av (Warwick; 02888), Tel 781-5535"
3,31,438 BROADWAY ST,PROVIDENCE,Mardo Anthony & Co,100.0,['cd1985/entry/1985_Page_104 (3).chop_7.png'],ACCOUNTANTSCONTD,Mardo Anthony & Co 438 Broadway
4,32,1845 SMITH ST,PROVIDENCE,Masso Thos J Jr,100.0,['cd1985/entry/1985_Page_104 (3).chop_8.png'],ACCOUNTANTSCONTD,Masso Thos J Jr 1845 Smith St (NP) Rm 2
5,39,414 BROADWAY ST,PROVIDENCE,PATERRA J J & CO,100.0,"['cd1985/entry/1985_Page_104 (3).chop_17.png', 'cd1985/entry/1985_Page_104 (3).chop_18.png']",ACCOUNTANTSCONTD,"PATERRA J J & CO 414 Broadway (02909), Tels 331-2462, 331-4483"
6,46,2 WAYLAND SQ,PROVIDENCE,Priolli Carl,100.0,['cd1985/entry/1985_Page_104 (3).chop_28.png'],ACCOUNTANTSCONTD,Priolli Carl 2 Wayland Sq
7,49,170 BROADWAY ST,PROVIDENCE,Rhode Island Assn Of Public Accounts,100.0,"['cd1985/entry/1985_Page_104 (3).chop_31.png', 'cd1985/entry/1985_Page_104 (3).chop_32.png']",ACCOUNTANTSCONTD,Rhode Island Assn Of Public Accounts 170 Broadway
8,73,1 OLD STONE SQ,PROVIDENCE,Ernst & Whinney,100.0,['cd1985/entry/1985_Page_105 (1)_34.png'],ACCOUNTANTS CERTIFIED PUBLIC,Ernst & Whinney 1 Old Stone Sq
9,88,414 BROADWAY ST,PROVIDENCE,PATERRA J J & CO,100.0,"['cd1985/entry/1985_Page_105 (1)_51.png', 'cd1985/entry/1985_Page_105 (1)_52.png']",ACCOUNTANTS CERTIFIED PUBLIC,"PATERRA J J & CO 414 Broadway (02909), Tels 331-2462, 331-4483"
10,93,2 WAYLAND SQ,PROVIDENCE,Sisto & Co,100.0,['cd1985/entry/1985_Page_105 (1)_61.png'],ACCOUNTANTS CERTIFIED PUBLIC,Sisto & Co 2 Wayland Sq
11,98,414 BROADWAY ST,PROVIDENCE,PATERRA J J & CO,100.0,"['cd1985/entry/1985_Page_105 (2)_4.png', 'cd1985/entry/1985_Page_105 (2)_5.png']",ACCOUNTANTS REGISTEREDPUBLIC,"PATERRA J J & CO 414 Broadway (02909), Tels 331-2462, 331-4483"
12,107,16 LOCUST AVE,PROVIDENCE,Beatini Louis R,88.5,['cd1985/entry/1985_Page_105 (2)_19.png'],ADVERTISING AGENCIES,Beatini Louis R 16 S Locust Av (NP)
13,121,800 TURKS HEAD PL,PROVIDENCE,H B M CREAMER INC,95.0,"['cd1985/entry/1985_Page_105 (2)_39.png', 'cd1985/entry/1985_Page_105 (2)_40.png', 'cd1985/entry/1985_Page_105 (2)_41.png']",ADVERTISING AGENCIES,"H B M CREAMER INC 800 Turks Head Place (02903), Tel (401) 456-1500"
14,142,2247 MINERAL SPRING AV,PROVIDENCE,Synerjenn Advertising,100.0,"['cd1985/entry/1985_Page_105 (3)_12.png', 'cd1985/entry/1985_Page_105 (3)_13.png']",ADVERTISING AGENCIES,Synerjenn Advertising 2247 Mineral Spring Av. (NP)
15,144,354 BROADWAY ST,PROVIDENCE,Twentieth Century Promotions,100.0,['cd1985/entry/1985_Page_105 (3)_15.png'],ADVERTISING AGENCIES,Twentieth Century Promotions 354 Broadway
16,145,480 BENEFIT ST,PROVIDENCE,Whiteco Metrocom,100.0,['cd1985/entry/1985_Page_105 (3)_16.png'],ADVERTISING AGENCIES,Whiteco Metrocom 480 Benefit St
17,150,178 BROADWAY ST,PROVIDENCE,Challenge Advertising Inc,100.0,['cd1985/entry/1985_Page_105 (3)_37.png'],ADVERTISINGDIRECT,Challenge Advertising Inc 178 Broadway
18,157,20 WESTMINSTER ST,PROVIDENCE,Tri-State Display,100.0,['cd1985/entry/1985_Page_105 (3)_50.png'],ADVERTISINGOUTDOOR,Tri-State Display 20 Westminster St Rm 330
